,Unnamed: 0,player,team,minutes,born,score_intervention,score_relance,score_projection,score_duel_def,score_impact,score_discipline,score_intervention_pct,score_relance_pct,score_projection_pct,score_duel_def_pct,score_impact_pct,score_discipline_pct,z_block_pass_p90,z_block_shot_p90,z_carry_lost_pct,z_carry_prog_p90,z_challenge_att_p90,z_challenge_pct,z_degagement_p90,z_duel_pct,z_duel_play_p90,z_erreur_opp_shot_p90,z_faute_commise_p90,z_interception_p90,z_pass_long_pct,z_pass_med_pct,z_pass_prog_p90,z_pass_short_pct,z_tacle_p90,z_tacle_win_ball_pct,z_yellow_card_p90,pct_block_pass_p90,pct_block_shot_p90,pct_carry_lost_pct,pct_carry_prog_p90,pct_challenge_att_p90,pct_challenge_pct,pct_degagement_p90,pct_duel_pct,pct_duel_play_p90,pct_erreur_opp_shot_p90,pct_faute_commise_p90,pct_interception_p90,pct_pass_long_pct,pct_pass_med_pct,pct_pass_prog_p90,pct_pass_short_pct,pct_tacle_p90,pct_tacle_win_ball_pct,pct_yellow_card_p90,poste,score_finition,score_deplacement,score_dribble,score_passe,score_defense,score_finition_pct,score_deplacement_pct,score_dribble_pct,score_passe_pct,score_defense_pct,z_ballon_touche_surface_off_p90,z_carry_in_surface_p90,z_dribble_att_p90,z_dribble_pct,z_faute_won_p90,z_goals_no_pk_p90,z_offside_p90,z_pass_profondeur_defense_p90,z_pass_prog_recu_p90,z_pass_shot_p90,z_pass_surface_cmp_p90,z_passe_pct,z_shot_on_target_pct,z_xG_per_shot,z_xGot_per_shot_on_target,pct_ballon_touche_surface_off_p90,pct_carry_in_surface_p90,pct_dribble_att_p90,pct_dribble_pct,pct_faute_won_p90,pct_goals_no_pk_p90,pct_offside_p90,pct_pass_profondeur_defense_p90,pct_pass_prog_recu_p90,pct_pass_shot_p90,pct_pass_surface_cmp_p90,pct_passe_pct,pct_shot_on_target_pct,pct_xG_per_shot,pct_xGot_per_shot_on_target,score_presence,score_recuperation,score_danger,score_technique,score_presence_pct,score_recuperation_pct,score_danger_pct,score_technique_pct,z_fautes_net_pct,z_passe_att_p90,z_shots_p90,z_touch_med_p90,z_touch_off_p90,pct_fautes_net_pct,pct_passe_att_p90,pct_shots_p90,pct_touch_med_p90,pct_touch_off_p90,score_progression,score_centre,score_progression_pct,score_centre_pct,z_centre_p90,z_centre_surface_cmp_p90,z_pass_transversal_p90,pct_centre_p90,pct_centre_surface_cmp_p90,pct_pass_transversal_p90,global_raw,global_rank,global_n,global_rank_str
0,0,Marquinhos,Paris Saint-Germain,1725,1994.0,-0.5619012323041543,1.953460020845116,2.3896656107025858,0.4614033855914185,0.0987959855043041,0.656081576855021,20.33898305084746,100.0,100.0,72.88135593220339,54.23728813559322,81.35593220338984,0.311839080454634,0.2186355765541625,1.889059330370265,2.3059413468429337,0.6647651153208213,1.2009618172837258,-1.072222318613563,0.4422819274255299,-0.2446899564169216,1.323267130783808,0.2536767151070385,-1.7058572676118504,2.5436219477108257,1.61672302480839,2.973996154894559,1.7000350900161318,-0.3176335792520419,0.2975201890131691,0.3913008846742165,59.32203389830508,64.40677966101694,100.0,98.30508474576273,77.96610169491525,88.13559322033898,18.64406779661017,66.94915254237289,42.3728813559322,91.52542372881356,59.32203389830508,3.389830508474576,100.0,98.30508474576273,100.0,98.30508474576273,44.06779661016949,65.2542372881356,67.79661016949152,defenseur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.47,1.0,59.0,1 / 59
1,1,Lucas Beraldo,Paris Saint-Germain,2011,2003.0,-1.03649604032691,1.675673136614914,0.7849079551991106,0.5438160037890893,0.4702773048730451,-0.3357944614065478,3.389830508474576,98.30508474576273,83.05084745762711,79.66101694915254,71.1864406779661,27.11864406779661,-0.8856059530752266,-1.137883169580508,1.3408103133440354,-0.5776906973898873,0.5043277543673016,-0.5539662286327219,-1.4586200808252918,0.765351720398101,0.1752028893479892,-0.5873470306689939,0.1255212175277047,-0.6638749578266132,2.385874777544071,1.2742812290774237,1.5916042496431837,1.366863403223247,-0.0264654043828667,2.2513678938046446,-0.5455575710783543,23.728813559322035,10.16949152542373,94.91525423728814,33.89830508474576,71.1864406779661,32.20338983050847,8.47457627118644,79.66101694915254,64.40677966101694,22.033898305084744,52.54237288135594,30.508474576271187,98.30508474576273,93.22033898305084,91.52542372881356,94.91525423728814,59.32203389830508,98.30508474576273,22.033898305084744,defenseur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.45,10.0,59.0,10 / 59
2,2,Mamadou Sarr,Strasbourg,2365,2005.0,-0.5476179661415082,1.4864187158945958,-0.6857894766910538,-0.5849508848292742,-0.8779005386831169,-0.0280312083702201,22.033898305084744,96.61016949152544,15.254237288135592,16.94915254237288,10.16949152542373,49.15254237288136,-1.464998953175024,0.1499136491562545,-0.0531353575130933,-0.9319568761717624,-1.3049777832837348,0.0274858347733297,-0.2443820668137692,-1.1820755445131044,-0.5737255328531293,-0.3013608094621051,-0.2100175371849623,-0.631004493733494,1.380623202952009,1.196202731855698,-1.0722761963883056,1.8824302128760808,-0.655573264605262,-0.4067383262014296,0.427284721536407,6.779661016949152,61.01694915254237,42.3728813559322,23.728813559322035,8.47457627118644,47.45762711864407,38.983050847457626,11.864406779661016,30.508474576271187,30.508474576271187,33.89830508474576,33.89830508474576,91.52542372881356,89.83050847457628,11.864406779661016,100.0,27.11864406779661,35.59322033898305,72.88135593220339,defenseur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.03,55.0,59.0,55 / 59
3,3,Willian Pacho,Paris Saint-Germain,2132,2001.0,0.3553503716652675,1.362351935423418,-0.4703750760397585,0.37378492978165,-0.731863903339039,0.7459980856931719,71.1864406779661,94.91525423728814,25.42372881355932,67.79661016949152,16.94915254237288,86.4406779661017,-0.0334999661671199,0.6854120854431003,0.7787731354480679,-1.2949062723774272,-0.2389329628759205,0.6997897830865778,-0.6986921459625369,-0.9708878766738452,-0.4928399300042327,0.7225408833351551,0.5211077333777114,1.4681815133476266,0.9475917554354282,1.8295368491076267,-0.8949920911899165,1.3099272017271986,1.3996753240284527,-0.36539242511251,0.9943456403666494,45.76271186440678,79.66101694915254,77.96610169491525,8.47457627118644,42.3728813559322,74.57627118644068,25.42372881355932,13.559322033898304,33.89830508474576,76.27118644067797,76.27118644067797,93.22033898305084,81.35593220338984,100.0,16.94915254237288,93.22033898305084,88.13559322033898,37.28813559322034,84.7457627118644,defenseur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.45,10.0,59.0,10 / 59
4,4,BafodÃ© DiakitÃ©,Lille,2766,2001.0,-0.7770560696019333,1.239845236087097,0.0663978770992875,-0.722860725334769,0.6029534608128341,-0.8679023623859933,5.084745762711865,93.22033898305084,61.01694915254237,11.864406779661016,81.35593220338984,11.864406779661016,-0.5954084557003423,-0.514495785468746,0.976372459572819,-0.3561839803378502,-1.4690351385268248,0.3584662400967749,-1.1598710744089622,1.2638518848235198,-0.0579449631978517,-0.9918962089857656,-1.1350064519590946,-0.8384489628296825,1.5763079678647491,1.4108652201267615,-0.4209948479371062,0.7323625202697805,-1.5141782449120025,-0.2666957579970235,-0.4768044262131198,30.508474576271187,33.89830508474576,86.4406779661017,40.67796610169492,5.084745762711865,64.40677966101694,15.254237288135592,93.22033898305084,49.15254237288136,15.254237288135592,13.559322033898304,23.728813559322035,94.91525423728814,94.91525423728814,42.3728813559322,77.96610169491525,3.389830508474576,44.06779661016949,25.42372881355932,defenseur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.07,45.0,59.0,45 / 59
5,5,Leonardo Balerdi,Marseille,2273,1999.0,-0.3852288598120312,1.238043226401105,0.1069085305416693,0.5012302403917642,-0.0139601625302198,-0.8117212224110629,28.8135593220339,91.52542372881356,64.40677966101694,76.27118644067797,47.45762711864407,15.254237288135592,-0.5393268626802474,-0.5106996872468655,0.1856360337990009,-0.2869180974893028,1.0040222054280226,-1.1626351971343754,-1.435297276130865,0.4078906268832893,-0.4358109519437291,-0.930579520444574,-0.2243201821096044,0.9444083868098536,0.821872948091904,1.2159982761239847,0.42200765531531,1.676258454987426,0.9141392414131114,1.2493947118602984,-1.2802639646790106,33.89830508474576,35.59322033898305,52.54237288135594,44.06779661016949,88.13559322033898,11.864406779661016,10.16949152542373,64.40677966101694,37.28813559322034,16.94915254237288,32.20338983050847,81.35593220338984,77.96610169491525,91.52542372881356,69.49152542372882,96.61016949152544,79.66101694915254,91.52542372881356,13.559322033898304,defenseur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.95,25.0,59.0,25 / 59
6,6,Becir Omeragic,Montpellier,1799,2002.0,-0.2733982196034029,1.0648677915605849,0.2945056715819726,-0.2712295494015485,-1.412523283127075,1.224400110768712,35.59322033898305,89.83050847457628,67.79661016949152,35.59322033898305,5.084745762711865,98.30508474576273,-0.0266865117854839,1.0748108252852395,0.4582749130960928,1.104812416145431,-0.9705283013115172,1.2568416259746966,-0.6535528718331187,-2.7336060732654066,-0.0914404929887436,1.323267130783808,1.067841949591132,-1.4881643200802483,1.2318420546190063,1.5490479282482872,-0.6795703144956058,0.4137133918144613,-0.2409399270118494,-1.130291595257524,1.2820912519311962,47.45762711864407,88.13559322033898,64.40677966101694,88.13559322033898,16.94915254237288,89.83050847457628,28.8135593220339,1.694915254237288,47.45762711864407,91.52542372881356,88.13559322033898,6.779661016949152,88.13559322033898,96.61016949152544,28.8135593220339,61.01694915254237,52.54237288135594,12.71186440677966,89.83050847457628,defenseur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.37,17.0,59.0,17 / 59
7,7,Malang Sarr,Lens,1385,1999.0,-0.0164713994405736,0.922038629712142,-0.0058786472463536,-0.1971075339770127,0.2652382889548036,0.2564582298296116,52.54237288135594,88.13559322033898,57.6271186440678,47.45762711864407,62.71186440677966,67.79661016949152,0.1275720631994023,-0.4132397403424598,0.9538592620871283,-0.9487273400065342,0.7446188884681734,-0.9286797806055112,-0.5110102781426796,1.897681892401545,-1.3672053144919378,-1.450917041549466,0.5197327820705334,0.7307923575234424,1.2451864864844386,1.096199043822338,-0.022767863819655,0.4247303588296494,-0.74890959875488,0.1445403549841667,1.7005589489677673,54.23728813559322,42.3728813559322,84.7457627118644,18.64406779661017,81.35593220338984,26.27118644067797,32.20338983050847,100.0,8.47457627118644,8.47457627118644,74.57627118644068,77.96610169491525,89.83050847457628,86.4406779661017,57.6271186440678,62.71186440677966,23.728813559322035,55.932203389830505,100.0,defenseur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.71,6.0,59.0,6 / 59
8,8,Alexsandro Ribeiro,Lille,2700,1999.0,-0.6703106671335752,0.7108219953713107,0.8042769682908388,-0.6455386425513001,0.6865292022515151,-0.3058137215354987,10.16949152542373,86.4406779661017,84.7457627118644,15.254237288135592,84.7457627118644,30.508474576271187,-0.99593320309423,-0.8972930088973671,0.232261814984845,0.5405565867736463,-1.0937771245553842,0.0274858347733297,-0.0107195374924812,1.1842066132806264,0.1888517912224039,-0.0997866020612233,0.2700212550380403,-0.7772969190502224,1.0085881930976042,0.7593182732091475,1.6400125031140254,0.3645595198071804,-1.3895018459809536,-0.1263614344421927,-1.0876758175833132,15.254237288135592,18.64406779661017,57.6271186440678,79.66101694915254,13.559322033898304,47.45762711864407,55.932203389830505,89.83050847457628,66.10169491525424,42.3728813559322,61.01694915254237,28.8135593220339,83.05084745762711,74.57627118644068,93.22033898305084,59.32203389830508,6.779661016949152,45.76271186440678,15.254237288135592,defenseur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.98,30.0,59.0,30 / 59
9,9,Dylan Batubinsika,Saint-Ã‰tienne,2016,1996.0,0.433732733721341,0.6502836158090693,-0.015863952193077,-1.1013228811056226,0.6191193461533271,-0.0405504626816362,79.66101694915254,84.7457627118644,55.932203389830505,3.389830508474576,83.05084745762711,47.45762711864407,-0.6901466321972403,-0.2849214096195047,1.1687293825008636,-0.3483869653096741,-1.1372866679258151,-0.9504108173186658,1.0922734538551606,1.2595375639669668,-0.0212988716603126,-0.5826084042765017,-0.1193290354611864,1.6177255228469485,0.4335379890409028,0.302730387710109,-0.8679342737704207,1.214582470676196,-1.187302443920485,-1.130291595257524,0.5802860516927796,28.8135593220339,45.76271186440678,88.13559322033898,42.3728813559322,11.864406779661016,22.033898305084744,84.7457627118644,91.52542372881356,50.84745762711864,25.42372881355932,37.28813559322034,94.91525423728814,69.49152542372882,61.01694915254237,18.64406779661017,88.13559322033898,10.16949152542373,12.71186440677966,77.96610169491525,defenseur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.04,14.0,59.0,14 / 59
